datetime,dollar,d_dollar,day_of_week,sin_month,cos_month
2013-01-06,30.3727,0.0,6,0.0,1.0
2013-01-07,30.3727,0.0,0,0.0,1.0
2013-01-08,30.3727,0.0,1,0.0,1.0
2013-01-09,30.3727,0.0,2,0.0,1.0
2013-01-10,30.4215,0.04880000000000351,3,0.0,1.0
2013-01-11,30.365,-0.056500000000003325,4,0.0,1.0
2013-01-12,30.2537,-0.11129999999999995,5,0.0,1.0
2013-01-13,30.2537,0.0,6,0.0,1.0
2013-01-14,30.2537,0.0,0,0.0,1.0
2013-01-15,30.2607,0.0070000000000014495,1,0.0,1.0
2013-01-16,30.2556,-0.005099999999998772,2,0.0,1.0
2013-01-17,30.3399,0.08429999999999893,3,0.0,1.0
2013-01-18,30.3431,0.0031999999999996476,4,0.0,1.0
2013-01-19,30.2065,-0.1366000000000014,5,0.0,1.0
2013-01-20,30.2065,0.0,6,0.0,1.0
2013-01-21,30.2065,0.0,0,0.0,1.0
2013-01-22,30.297,0.09050000000000225,1,0.0,1.0
2013-01-23,30.195,-0.10200000000000031,2,0.0,1.0
2013-01-24,30.2292,0.034199999999998454,3,0.0,1.0
2013-01-25,30.1648,-0.06439999999999912,4,0.0,1.0
2013-01-26,30.0451,-0.11969999999999814,5,0.0,1.0
2013-01-27,30.0451,0.0,6,0.0,1.0
2013-01-28,30.0451,0.0,0,0.0,1.0
2013-01-29,30.0782,0.033099999999997465,1,0.0,1.0
2013-01-30,30.1513,0.07310000000000016,2,0.0,1.0
2013-01-31,30.0277,-0.12359999999999971,3,0.0,1.0
2013-02-01,30.0161,-0.011599999999997834,4,0.49999999999999994,0.8660254037844387
2013-02-02,29.9966,-0.01950000000000074,5,0.49999999999999994,0.8660254037844387
2013-02-03,29.9966,0.0,6,0.49999999999999994,0.8660254037844387
2013-02-04,29.9966,0.0,0,0.49999999999999994,0.8660254037844387
2013-02-05,29.9251,-0.07150000000000034,1,0.49999999999999994,0.8660254037844387
2013-02-06,30.1231,0.1980000000000004,2,0.49999999999999994,0.8660254037844387
2013-02-07,29.9598,-0.16329999999999956,3,0.49999999999999994,0.8660254037844387
2013-02-08,30.0496,0.08980000000000032,4,0.49999999999999994,0.8660254037844387
2013-02-09,30.1575,0.10789999999999722,5,0.49999999999999994,0.8660254037844387
2013-02-10,30.1575,0.0,6,0.49999999999999994,0.8660254037844387
2013-02-11,30.1575,0.0,0,0.49999999999999994,0.8660254037844387
2013-02-12,30.159,0.0015000000000000568,1,0.49999999999999994,0.8660254037844387
2013-02-13,30.1713,0.012299999999999756,2,0.49999999999999994,0.8660254037844387
2013-02-14,30.0692,-0.10210000000000008,3,0.49999999999999994,0.8660254037844387
2013-02-15,30.0773,0.008100000000002439,4,0.49999999999999994,0.8660254037844387
2013-02-16,30.1139,0.036599999999999966,5,0.49999999999999994,0.8660254037844387
2013-02-17,30.1139,0.0,6,0.49999999999999994,0.8660254037844387
2013-02-18,30.1139,0.0,0,0.49999999999999994,0.8660254037844387
2013-02-19,30.1258,0.011900000000000688,1,0.49999999999999994,0.8660254037844387
2013-02-20,30.1277,0.0018999999999991246,2,0.49999999999999994,0.8660254037844387
2013-02-21,30.0502,-0.07750000000000057,3,0.49999999999999994,0.8660254037844387
2013-02-22,30.2337,0.18349999999999866,4,0.49999999999999994,0.8660254037844387
2013-02-23,30.3596,0.12590000000000146,5,0.49999999999999994,0.8660254037844387
2013-02-24,30.3596,0.0,6,0.49999999999999994,0.8660254037844387
2013-02-25,30.3596,0.0,0,0.49999999999999994,0.8660254037844387
2013-02-26,30.3368,-0.022800000000000153,1,0.49999999999999994,0.8660254037844387
2013-02-27,30.5889,0.25209999999999866,2,0.49999999999999994,0.8660254037844387
2013-02-28,30.6202,0.03130000000000166,3,0.49999999999999994,0.8660254037844387
2013-03-01,30.5124,-0.107800000000001,4,0.8660254037844386,0.5000000000000001
2013-03-02,30.6381,0.12570000000000192,5,0.8660254037844386,0.5000000000000001
2013-03-03,30.6381,0.0,6,0.8660254037844386,0.5000000000000001
2013-03-04,30.6381,0.0,0,0.8660254037844386,0.5000000000000001
